Headline,Description,Date,Link
How Macy’s became a takeover target,"Macy’s has struggled for years against rising competition and shoppers migrating away from department stores. Now, a group of investors reportedly wants to take Macy’s private at a vulnerable moment for the famed company.","Dec 12, 2023",https://www.cnn.com/2023/12/12/business/macys-buyout-department-stores/index.html
TikTok is investing $1.5 billion to get back into online shopping in Indonesia,"Jakarta — China’s TikTok will invest $1.5 billion to become controlling shareholder of an e-commerce unit of Indonesia’s GoTo Gojek Tokopedia, as it seeks to restart its online shopping business suspended by regulators in Southeast Asia’s largest ...","Dec 11, 2023",https://www.cnn.com/2023/12/11/tech/indonesia-tiktok-goto-ecommerce-deal-intl-hnk/index.html
Americans are no longer ready to shop till they drop,Discount retailers warned earlier this year that customers are pulling back their spending in the face of economic uncertainty.,"Dec 08, 2023",https://www.cnn.com/2023/12/08/investing/premarket-stocks-trading-discount-retailers-earnings/index.html
Hong Kong and Saudi Arabia want to do more business together. Here’s why,"For the first time, Hong Kong’s leader has welcomed Saudi Arabian elites to the city for an investment conference, in an example of how it is embracing new potential business partners as it confronts a slumping economy and geopolitical uncertainty.","Dec 08, 2023",https://www.cnn.com/2023/12/07/business/hong-kong-saudi-arabia-investment-summit-intl-hnk/index.html
Wanxiang Trust: Another Chinese ‘shadow bank’ faces major financial trouble,"Wanxiang Trust, an investment and asset management company in China, has reportedly missed payments on several investment products to investors, adding to fresh worries about the stability of the country’s shadow banking sector.","Dec 05, 2023",https://www.cnn.com/2023/12/05/business/china-wanxiang-trust-bank-protests-intl-hnk/index.html
More executives go missing in China — this time linked to troubled shadow bank Zhongzhi,"Two Chinese business executives at companies controlled by the embattled financial conglomerate Zhongzhi have gone missing, according to statements by their respective firms.","Dec 01, 2023",https://www.cnn.com/2023/12/01/business/china-executives-missing-zhongzhi-intl-hnk/index.html
Jack Ma is betting on a new food business in China,Jack Ma has a new title: owner of “Ma’s Kitchen.”,"Nov 27, 2023",https://www.cnn.com/2023/11/27/business/jack-ma-food-startup-intl-hnk/index.html
Energized shoppers break one-day holiday sales record,Both in-store and online retail sales increased year-over-year unadjusted for inflation on Black Friday.,"Nov 26, 2023",https://www.cnn.com/2023/11/25/business/record-breaking-holiday-shopping/index.html
Shop deals on all your favorite brands this Small Business Saturday,"CNN Underscored editors found deals to help you support small business this Black Friday from brands including Fly By Jing, Boysmells and Yana Sleep.","Nov 25, 2023",https://www.cnn.com/cnn-underscored/deals/small-business-black-friday-deals-2023-11-24
The best Small Business Saturday deals,"From now through Monday, November 27th, we’ll be updating this list daily with new sales and more opportunities to save. Happy shopping!","Nov 24, 2023",https://www.cnn.com/cnn-underscored/tiktok-best-small-business-saturday-deals
The best Small Business Saturday deals,"From now through Monday, November 27th, we’ll be updating this list daily with new sales and more opportunities to save. Happy shopping!","Nov 24, 2023",https://www.cnn.com/cnn-underscored/instagram-best-small-business-saturday
Chinese shadow bank says it has ‘huge’ debt and can’t pay its bills,"A major wealth management company in China has told investors it can’t pay all its bills, reigniting fears that the country’s long-running real estate slump may be spilling over into the $3 trillion shadow banking sector.","Nov 23, 2023",https://www.cnn.com/2023/11/23/business/zhongzhi-enterprise-group-china-insolvent-hnk-intl/index.html
Support your favorite small businesses with the best Black Friday 2023 deals,"CNN Underscored editors found deals to help you support small business this Black Friday from brands including Fly By Jing, Boysmells and Yana Sleep.","Nov 23, 2023",https://www.cnn.com/cnn-underscored/deals/small-business-black-friday-deals-2023-11-23
Support your favorite small businesses with the best Black Friday 2023 deals,"CNN Underscored editors found deals to help you support small business this Black Friday from brands including Fly By Jing, Boysmells and Yana Sleep.","Nov 22, 2023",https://www.cnn.com/cnn-underscored/deals/small-business-black-friday-deals-2023-11-22
Why Small Business Saturday is a hit with holiday shoppers,"Although the US is grappling with the highest interest rates in more than two decades and stubborn inflation, enthusiastic consumer spending and robust government investment are promising signs for the nation’s nearly 32 million small businesses ...","Nov 25, 2023",https://www.cnn.com/2023/11/21/business/small-business-owners-gear-up-for-the-biggest-shopping-weekend-of-the-holiday-season/index.html
McDonald’s is investing more in China to tap ‘tremendous opportunity’,McDonald’s has struck a deal to ramp up its stake in its China business to just under 50% and expressed confidence in its growth prospects in the world’s second-largest economy.,"Nov 21, 2023",https://www.cnn.com/2023/11/21/business/mcdonalds-china-stake-prospects/index.html
Chip war nixes Alibaba’s plan to spin out cloud business,"Alibaba has called off plans to spin off its cloud computing arm, saying recent tightening of US controls on chip exports to China has created “uncertainties” for the division’s prospects.","Nov 17, 2023",https://www.cnn.com/2023/11/16/investing/us-china-alibaba-cloud-business/index.html
Warren Buffett’s Berkshire Hathaway sold all of its GM stock,"Warren Buffett’s Berkshire Hathaway unloaded its entire $850 million worth of General Motors (GM) stock last quarter, according to a Securities and Exchange Commission filing.","Nov 16, 2023",https://www.cnn.com/2023/11/15/investing/warren-buffett-berkshire-hathaway-gm-stock/index.html
Our 7 best business credit cards of November that earn rewards and can get you through a cash crunch in 2023,"Choose the right business credit card in 2023 with the right benefits for your business, such as an introductory interest rate on purchases, travel rewards, trip and purchase protections, annual credits and even airport lounge access.","Nov 14, 2023",https://www.cnn.com/cnn-underscored/money/best-business-credit-cards
Should small business owners get the Hilton Amex Business credit card?,"The Hilton Honors American Express Business Card is geared to small business owners, freelancers and entrepreneurs who want to earn rewards for free hotel stays and get elite status perks at Hilton hotels that can make travel more comfortable or ...","Nov 15, 2023",https://www.cnn.com/cnn-underscored/reviews/hilton-honors-business-amex-credit-card
Insider changes back to its former name as Henry Blodget leaves CEO role,"Henry Blodget is no longer the CEO of Insider, a business-focused website he founded in 2007.","Nov 14, 2023",https://www.cnn.com/2023/11/14/media/henry-blodget-business-insider-ceo-role/index.html
"Earn up to 50,000 bonus points each year with the Amex Blue Business Plus credit card","For small business owners, the Blue Business Plus card has no annual fee and offers double points on all purchases up to $50,000 every year.","Nov 15, 2023",https://www.cnn.com/cnn-underscored/reviews/american-express-blue-business-plus-credit-card
"Detained, missing or under investigation: Business leaders in China face an ‘aggressive’ crackdown","Business leaders in China are under immense pressure, as President Xi Jinping’s government intensifies a regulatory crackdown on companies and strengthen﻿s its control of the economy.","Nov 11, 2023",https://www.cnn.com/2023/11/10/business/china-business-leaders-crackdown-intl-hnk/index.html
Beyond suites: Where does business class innovate next?,"While the mini-suite has dominated business class cabin innovation in recent years, air travelers may be in for a “less is more” pendulum swing with new privacy options and more emphasis on customizable meals, entertainment and other amenities.","Nov 10, 2023",https://www.cnn.com/travel/business-class-future-innovations/index.html
"Chinese firms are increasing diversification outside of China, says HSBC CEO","Diversification away from China is increasing, and it doesn’t just affect foreign companies, according to HSBC CEO Noel Quinn.","Nov 08, 2023",https://www.cnn.com/2023/11/08/economy/hsbc-ceo-china-exodus-trend-intl-hnk/index.html
20% of US offices are vacant. WeWork’s bankruptcy will make the problem worse,America has a glut of empty offices.,"Nov 08, 2023",https://www.cnn.com/2023/11/07/business/wework-bankruptcy-offices-real-estate/index.html
Carlsberg says Moscow stole its Russian business,"Carlsberg has cut all ties with its Russian business and refuses to enter a deal with Russia’s government that would make Moscow’s seizure of the assets look legitimate, the brewer’s new CEO said Tuesday.","Oct 31, 2023",https://www.cnn.com/2023/10/31/business/carlsberg-russia-business-stolen/index.html
How to get approved for a business credit card,Most businesses — including sole proprietorships — are eligible to open a credit card. Here’s what you need to know about how to get approved for a business credit card of your own.,"Oct 27, 2023",https://www.cnn.com/cnn-underscored/money/how-to-get-business-credit-card
Consumers are spending like there’s no tomorrow. But take a look at corporate earnings,A version of this story first appeared in CNN Business’ Before the Bell newsletter. Not a subscriber? You can sign up right here. You can listen to an audio version of the newsletter by clicking the same link.,"Oct 27, 2023",https://www.cnn.com/premarket-stocks-economy/index.html
Ari Emanuel’s Endeavor is considering selling some of its assets,"Endeavor Group Holdings, led by the high-power agent to the stars, Ari Emanuel, said that it is considering a sale of some of its assets.","Oct 26, 2023",https://www.cnn.com/2023/10/25/business/ari-emmanuel-endeavor-talent-agency-strategic-review/index.html
"Microsoft, Google post strong quarterly sales growth as Big Tech continues its comeback","Big tech companies are continuing a turnaround from last year, as Alphabet, Microsoft and Snap kicked off earnings season with strong sales results for the quarter ended in September.","Oct 25, 2023",https://www.cnn.com/2023/10/24/tech/microsoft-google-snap-tech-earnings/index.html
How toy and game companies are winning back their grown-up former customers,,"Oct 23, 2023",https://www.cnn.com/2023/10/21/business/adults-buying-toys-nostalgia/index.html
ESG investing is dying on Wall Street. Here’s why,"The market for environmental, social and corporate governance, or ESG, investing is fundamentally broken.","Oct 23, 2023",https://www.cnn.com/2023/10/23/investing/premarket-stocks-trading/index.html
China’s homegrown passenger jet makes international debut,"Beijing’s C919 airliner, a potential rival to Western-made Boeing and Airbus planes, made its first foray outside Chinese territory on Sunday by staging a flyby at the Singapore Airshow.","Feb 20, 2024",https://www.cnn.com/2024/02/19/business/china-comac-c919-international-debut-intl-hnk/index.html
This city has more ‘best’ restaurants than any other in the Middle East,"Unveiled online on February 13, the annual MENA’s 50 Best Restaurants list was dominated by Dubai, with 18 restaurants on the rankings.","Feb 15, 2024",https://www.cnn.com/travel/dubai-best-restaurants-middle-east-50-best-intl-hnk-spc/index.html
Coalition government deal in Pakistan leaves Imran Khan’s party out of power,The Pakistan Muslim League-Nawaz and the Pakistan People’s Party say they will form a coalition government after last week’s inconclusive elections.,"Feb 14, 2024",https://www.cnn.com/2024/02/13/asia/pakistan-coalition-government-intl/index.html
Pakistan’s youth deliver stinging rebuke to military elite by backing jailed leader Khan,"His political party is effectively banned, his speeches are barred from television, and he faces at least 14 years in prison. But as the Pakistan election results show, Imran Khan cannot be suppressed.","Feb 12, 2024",https://www.cnn.com/2024/02/12/asia/pakistan-election-results-military-rebuke-analysis-intl-hnk/index.html
"Pakistan releases official election results, independents affiliated with Khan’s PTI secure most seats","Pakistan’s official election results were announced Sunday, with independent candidates affiliated with former Prime Minister Imran Khan’s Pakistan Tehreek-e-Insaf (PTI) party securing the most seats in parliament.","Feb 11, 2024",https://www.cnn.com/2024/02/10/asia/pakistan-election-results-released-intl-hnk/index.html
Unilever’s sales decline in Indonesia because of anti-Israel boycotts,Unilever is the latest Western company to report a rough fourth-quarter because of boycotts against the company because of the war in the Middle East.,"Feb 09, 2024",https://www.cnn.com/2024/02/09/business/unilevers-sales-indonesia-boycotts/index.html
"In shock result, allies of jailed ex-leader Khan win most seats in Pakistan election","Independent candidates affiliated with jailed Pakistani political leader Imran Khan’s Tehreek E Insaaf (PTI) party won the most National Assembly seats in Pakistan’s general election, delivering a surprise victory in a vote marred by a slow count and ...","Feb 10, 2024",https://www.cnn.com/2024/02/09/asia/pakistan-election-nawaz-sharif-intl/index.html
Vote counting in Pakistan hit by unexpected delays after millions cast their ballot in controversial general election,Vote counting in Pakistan’s general election has been hit by unexpected delays after millions cast their ballot in an election in which old dynasties vied for power while the country’s widely popular former leader languishes behind bars.,"Feb 09, 2024",https://www.cnn.com/2024/02/08/asia/pakistan-election-day-voting-polls-intl-hnk/index.html
Alibaba shares sink after it shelves IPO plans for two units,"Shares in Alibaba sank as much as 7% in Hong Kong on Thursday, after the Chinese tech giant reported disappointing sales figures and announced it would suspend listings plans for two of its units.","Feb 08, 2024",https://www.cnn.com/2024/02/08/tech/china-alibaba-listings-postponed-hnk-intl/index.html
Pakistan on edge as old dynasties vie for power and populist Imran Khan languishes in prison,Pakistan is on edge as it heads to the polls Thursday for a widely anticipated general election in which its former leader Imran Khan is barred from standing.,"Feb 08, 2024",https://www.cnn.com/2024/02/07/asia/pakistan-election-candidates-analysis-intl-hnk/index.html
"At least 30 dead in Balochistan explosions, day before Pakistan election","At least 30 people have been killed and another 40 injured in two different explosions in Balochistan province, a day before Pakistan’s general elections.","Feb 08, 2024",https://www.cnn.com/2024/02/07/asia/balochistan-explosions-pakistan-election-intl/index.html
World’s largest chipmaker TSMC to build a second factory in Japan,Chip giant Taiwan Semiconductor Manufacturing Company (TSMC) is upping its output in Japan as it continues to expand its global presence.,"Feb 07, 2024",https://www.cnn.com/2024/02/07/tech/tsmc-taiwan-japan-second-factory-intl-hnk/index.html
McDonald’s says Middle East turmoil is hurting its business,McDonald’s said growing tensions in the Middle East have hurt its business.,"Feb 05, 2024",https://www.cnn.com/2024/02/05/investing/mcdonalds-full-year-earnings-2023/index.html
"From Bulgari to Armani, ultra-luxe branded residences are booming in Dubai","Luxury branded residences from designer labels like Armani and Bulgari are soaring in popularity in Dubai, which has become the global leader for these real estate projects.","Feb 06, 2024",https://www.cnn.com/style/dubai-luxury-branded-residences-hnk-spc-intl/index.html
Jailed Pakistani former Prime Minister Imran Khan and wife convicted for ‘fraudulent marriage’,Pakistani former Prime Minister Imran Khan and his wife Bushra Bibi have been sentenced to seven years in prison and fined by a district court that ruled their 2018 marriage violated the law.,"Feb 05, 2024",https://www.cnn.com/2024/02/03/asia/imran-khan-convicted-fraudulent-marriage-pakistan-intl/index.html
"Brutalism, bureaucracy and beauty: Why Turkey’s capital city isn’t ‘gray’","Ankara’s architecture of power and administration is often dismissed as dull, but “Turkey’s Washington” offers a greener, more liveable destination than Istanbul.","Feb 02, 2024",https://www.cnn.com/travel/ankara-turkey/index.html
Pakistan election candidate shot dead as violence escalates ahead of nationwide vote,"An independent candidate affiliated with the former prime minister Imran Khan’s Pakistan Tehreek-e-Insaf (PTI) party was shot dead in Khyber Pakhtunkhwa province while campaigning on Wednesday, as violence escalates ahead of the ...","Feb 01, 2024",https://www.cnn.com/2024/02/01/asia/pakistan-election-candidate-killed-intl-hnk/index.html
"Pakistan’s former leader Imran Khan sentenced to 14 years in prison, a day after being jailed for 10 years","Pakistan’s incarcerated former Prime Minister Imran Khan has been sentenced to 14 years in prison for corruption, his Pakistan Tehreef-e-Insaaf (PTI) party said Wednesday, in the second legal blow to beset the beleaguered politician this week.","Jan 31, 2024",https://www.cnn.com/2024/01/31/asia/pakistan-imran-khan-sentence-14-years-intl-hnk/index.html
Former Pakistan Prime Minister Imran Khan sentenced to 10 years in prison,"Pakistan’s former leader Imran Khan has been sentenced to 10 years in prison for leaking state secrets, his political party Pakistan Tehreek-e-Insaf (PTI) said in a statement Tuesday.","Jan 30, 2024",https://www.cnn.com/2024/01/30/asia/pakistan-imran-khan-sentenced-prison-intl-hnk/index.html
Dream of the Desert: Saudi Arabia is launching its own luxury train,State-owned railway company Saudi Arabia Railways (SAR) recently struck a 200 million Saudi riyals ($53.33 million) deal with Italian hospitality company Arsenale Group to launch the first luxury train in the Middle Eastern kingdom.,"Feb 01, 2024",https://www.cnn.com/travel/dreams-of-the-desert-saudi-arabia-luxury-train/index.html
Gunmen kill nine Pakistani workers in Iranian border region days after military strikes,"Unidentified gunmen killed nine Pakistani workers on Saturday in the Iranian city of Saravan, in the restive southeastern border region, according to Pakistani officials. The attack is the latest incident across the shared Iran-Pakistan border that has ...","Jan 29, 2024",https://www.cnn.com/2024/01/28/middleeast/gunmen-kill-nine-pakistanis-in-iranian-border-region-days-after-military-strikes/index.html
Pakistan accuses India of extrajudicial killings on its territory,"A top Pakistan official on Thursday accused India of killing two Pakistani nationals on its soil, citing what he called “a pattern” of alleged Indian assassination plots overseas and raising tensions between the two nuclear-armed rivals.","Jan 26, 2024",https://www.cnn.com/2024/01/26/asia/pakistan-accuses-india-extrajudicial-killing-intl-hnk/index.html
Saudi Arabia to change alcohol rules,New rules on alcohol in Saudi Arabia have been revealed ahead of the reported opening of the first-ever liquor store in the capital Riyadh.,"Jan 25, 2024",https://www.cnn.com/travel/saudi-arabia-first-alcohol-store/index.html
Bill Ackman buys stake in Tel Aviv stock exchange in ‘vote of confidence’ for Israeli economy,Hedge fund billionaire Bill Ackman and his wife Neri Oxman are buying a stake in Tel Aviv’s stock market in what the exchange said Wednesday was a “strong vote of confidence” in Israel’s economy.,"Jan 24, 2024",https://www.cnn.com/2024/01/24/business/bill-ackman-neri-oxman-israel-stock-exchange/index.html
China tries to halt stock market rout by boosting lending and wooing foreign investors,"China has vowed to pump more money into the economy and further open its $64 trillion financial industry to international investors, as Beijing scrambles to restore confidence following a massive stock market rout.","Jan 24, 2024",https://www.cnn.com/2024/01/24/business/china-foreign-investors-market-rout-intl-hnk/index.html
Sony’s $10 billion India media deal ends in ugly breakup,A dramatic acquisition saga in one of the world’s fastest growing media industries is headed for a bitter ending.,"Jan 22, 2024",https://www.cnn.com/2024/01/22/media/sony-zee-merger-termination-india-intl-hnk/index.html
This hidden BBQ joint is taking Dubai’s food scene by storm,"Tucked away in a Dubai industrial estate, Big T’s BBQ is cooking up authentic Texas-style barbecue that foodies are willing to queue up to an hour for.","Jan 22, 2024",https://www.cnn.com/travel/big-t-bbq-dubai-texas-hidden-barbecue-joint-hnk-spc-intl/index.html
China’s largest oil supplier in 2023 was Russia,"Russia surpassed Saudi Arabia to become China’s largest oil supplier in 2023, according to the latest Chinese customs data.","Jan 22, 2024",https://www.cnn.com/2024/01/22/business/china-top-oil-supplier-2023-russia-intl-hnk/index.html
Why are Iran and Pakistan striking each other’s territory – and what does it have to do with the Middle East?,"Pakistan and Iran have both conducted strikes on each other’s territories in an unprecedented escalation of hostilities between the two neighbors, at a time when tensions have risen sharply across the Middle East and beyond.","Jan 19, 2024",https://www.cnn.com/2024/01/18/world/iran-pakistan-attacks-tensions-explainer-intl-hnk/index.html
Pakistan carries out military strikes on separatist targets in Iran following deadly attack on its own soil by Tehran,"Pakistan carried out a series of deadly military strikes on what it said were separatist militant hideouts inside Iran, in the latest incident across their shared border that has sent tensions between the two neighbors soaring.","Jan 19, 2024",https://www.cnn.com/2024/01/18/middleeast/pakistan-targets-locations-iran-intl-hnk/index.html
Singapore minister resigns after being charged with corruption in a first for the city state,"Singapore’s Transport Minister S. Iswaran has resigned after being charged with corruption on Thursday, the prime minister’s office said, confirming a historic development for a city state that prides itself on having a squeaky-clean government.","Jan 18, 2024",https://www.cnn.com/2024/01/18/asia/singapore-first-minister-corruption-charges-intl-hnk/index.html
Pakistan condemns deadly Iranian missile strike on its territory as tensions spike across region,"Pakistan has strongly condemned an Iranian airstrike inside its borders that killed two children, calling it an “unprovoked violation of its airspace” and warning of retaliation.","Jan 18, 2024",https://www.cnn.com/2024/01/17/middleeast/iran-missile-attack-pakistan-intl-hnk/index.html
"China’s economy grew by about 5.2% in 2023, Premier Li says","China’s economy grew by about 5.2% in 2023, slightly better than the official target Beijing had set, Premier Li Qiang said Tuesday at the World Economic Forum’s annual meeting in Davos, Switzerland.","Jan 16, 2024",https://www.cnn.com/2024/01/16/business/china-economy-li-qiang-davos-intl-hnk/index.html
OpenAI CEO says Muslim tech workers fear retaliation for speaking out,"Sam Altman called on the tech sector to have more “empathy” for Muslim, Arab, “and especially palestinian” colleagues amid the ongoing war in Gaza.","Jan 05, 2024",https://www.cnn.com/2024/01/05/tech/openai-sam-altman-muslim-workers-fear-retaliation/index.html
Chinese shadow bank Zhongzhi files for bankrupcty,"Chinese wealth manager Zhongzhi Enterprise Group has filed for bankruptcy liquidation after failing to repay debt, as the firm grapples with a deepening property market downturn.","Jan 05, 2024",https://www.cnn.com/2024/01/05/business/chinese-shadow-bank-zhongzhi-bankrupcty/index.html
His fortune shrank by $80 billion last year. Now India’s Gautam Adani is back as Asia’s richest man,Indian tycoon Gautam Adani has had a good start to 2024.,"Jan 05, 2024",https://www.cnn.com/2024/01/05/business/gautam-adani-india-richest-asian-intl-hnk/index.html
World’s largest oil producer plans to deepen its push into China,"Saudi energy giant Aramco, the world’s largest integrated oil and gas company, could be upping is planning to up its investment stake in its Chinese partner, as it expands its investments footprint in the country.","Jan 04, 2024",https://www.cnn.com/2024/01/04/business/saudi-aramco-china-rongsheng-intl-hnk/index.html
Xi Jinping rings in 2024 with rare admission that China’s economy is in trouble,"China’s businesses are struggling and job seekers have trouble finding work, President Xi Jinping acknowledged during his Sunday New Year’s Eve speech.","Jan 01, 2024",https://www.cnn.com/2024/01/01/economy/xi-jinping-new-year-address-economy-intl-hnk/index.html
"Headscarves, PDA, and alcohol: What to know about visiting Saudi Arabia","For first-time visitors, especially ones who aren’t familiar with the Middle East or Muslim-majority countries, it’s critical to do some research before setting off to Saudi Arabia.","Dec 29, 2023",https://www.cnn.com/travel/what-to-know-about-visiting-saudi-arabia/index.html
India joins the ranks of stock market superpowers,"The National Stock Exchange of India, which is larger than the BSE by transaction value, has now taken Hong Kong’s place as the seventh-largest bourse.","Dec 26, 2023",https://www.cnn.com/2023/12/26/markets/india-stock-market-investment-growth-intl-hnk/index.html
New draft rules targeting in-game spending wipe billions from China’s tech giants,"Shares of several Chinese tech giants tanked in Hong Kong, after Beijing unveiled a new set of regulations to restrict online spending in the gaming industry as part of its wider crackdown.","Dec 22, 2023",https://www.cnn.com/2023/12/22/business/chinese-tech-giants-shares-plunge-online-gaming-ban-intl-hnk/index.html
"Bin Laden, Hamas and the Sudanese money man","A Hamas-linked financier, once sentenced for 10 years on corruption charges in Sudan, maintains a network of business interests in Europe despite being under US sanctions, leaked documents show.","Dec 21, 2023",https://www.cnn.com/2023/12/21/middleeast/hamas-financing-abdelbasit-hamza-intl/index.html
China’s Xi Jinping hails Russia cooperation as record trade beats $200 billion target,China and Russia wrapped up a bumper year of cooperation with an annual year-end meeting in which the two vowed to deepen ties across a range of issues as record trade between them surged past a symbolic target.,"Dec 21, 2023",https://www.cnn.com/2023/12/21/china/china-russia-relations-record-trade-intl-hnk/index.html
Alibaba makes leadership changes after bruising by rival’s success,Alibaba has reshuffled its top ranks after the stellar performance of a competitor caused a stir at the tech giant.,"Dec 20, 2023",https://www.cnn.com/2023/12/20/tech/china-alibaba-leadership-changes-competition-intl-hnk/index.html
